Lab session id: phase0-20260708-khai
Captured at: 2026-07-08 10:27:10 +07:00
Evidence item: host-listening-ports-netstat


Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.6.33:51112     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:51113     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:51137     113.171.206.144:443    CLOSE_WAIT      12812
  TCP    192.168.6.33:51479     52.41.127.135:443      ESTABLISHED     1876
  TCP    192.168.6.33:51615     104.18.32.47:443       ESTABLISHED     13260
  TCP    192.168.6.33:52050     172.253.118.188:5228   ESTABLISHED     13260
  TCP    192.168.6.33:53210     216.239.32.223:443     ESTABLISHED     1876
  TCP    192.168.6.33:53891     34.54.84.110:443       ESTABLISHED     10716
  TCP    192.168.6.33:53901     172.64.155.209:443     TIME_WAIT       0
  TCP    192.168.6.33:53902     34.54.84.110:443       ESTABLISHED     1876
  TCP    192.168.6.33:54262     52.110.8.129:443       ESTABLISHED     12812
  TCP    192.168.6.33:54441     216.239.36.223:443     ESTABLISHED     10716
  TCP    192.168.6.33:55554     52.41.127.135:443      ESTABLISHED     10716
  TCP    192.168.6.33:55814     35.190.80.1:443        ESTABLISHED     13260
  TCP    192.168.6.33:56808     104.18.32.47:443       ESTABLISHED     25660
  TCP    192.168.6.33:56826     104.18.32.47:443       ESTABLISHED     25660
  TCP    192.168.6.33:56934     35.190.80.1:443        ESTABLISHED     12812
  TCP    192.168.6.33:56935     104.18.32.47:443       ESTABLISHED     25288
  TCP    192.168.6.33:56936     216.239.34.223:443     TIME_WAIT       0
  TCP    192.168.6.33:56937     216.239.34.223:443     TIME_WAIT       0
  TCP    192.168.6.33:56938     216.239.34.223:443     TIME_WAIT       0
  TCP    192.168.6.33:56939     216.239.38.223:443     ESTABLISHED     1876
  TCP    192.168.6.33:56940     216.239.38.223:443     TIME_WAIT       0
  TCP    192.168.6.33:56941     216.239.36.223:443     TIME_WAIT       0
  TCP    192.168.6.33:56942     142.251.12.132:443     ESTABLISHED     1876
  TCP    192.168.6.33:56943     216.239.34.223:443     ESTABLISHED     1876
  TCP    192.168.6.33:56944     216.239.34.223:443     TIME_WAIT       0
  TCP    192.168.6.33:56950     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:56951     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:56952     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:56953     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:56954     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:56955     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:56956     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:56957     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:56958     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:56959     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:56960     104.18.32.47:443       TIME_WAIT       0
  TCP    192.168.6.33:57200     172.64.148.235:443     ESTABLISHED     12812
  TCP    192.168.6.33:57629     104.18.32.47:443       ESTABLISHED     25660
  TCP    192.168.6.33:58241     74.226.64.245:443      ESTABLISHED     12812
  TCP    192.168.6.33:58259     49.213.78.54:443       ESTABLISHED     12812
  TCP    192.168.6.33:58452     113.171.200.47:443     CLOSE_WAIT      12812
  TCP    192.168.6.33:60695     49.213.78.54:443       ESTABLISHED     12812
  TCP    192.168.6.33:60828     140.82.113.25:443      ESTABLISHED     12812
  TCP    192.168.6.33:61015     172.64.150.28:443      ESTABLISHED     13260
  TCP    192.168.6.33:61958     74.125.68.136:443      ESTABLISHED     12812
  TCP    192.168.6.33:62751     172.64.155.209:443     ESTABLISHED     25660
  TCP    192.168.6.33:63687     150.171.110.98:443     ESTABLISHED     9760
  TCP    192.168.6.33:63688     216.239.32.223:443     ESTABLISHED     10716
  TCP    192.168.6.33:64166     172.64.155.209:443     ESTABLISHED     13260
  TCP    192.168.6.33:64767     49.213.78.54:443       ESTABLISHED     12812
  TCP    192.168.6.33:64776     49.213.95.31:443       ESTABLISHED     21156
  TCP    192.168.88.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.213.1:139      0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1656
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:8081              [::]:0                 LISTENING       8868
  TCP    [::]:9090              [::]:0                 LISTENING       27656
  TCP    [::]:49664             [::]:0                 LISTENING       1356
  TCP    [::]:49665             [::]:0                 LISTENING       1188
  TCP    [::]:49666             [::]:0                 LISTENING       2332
  TCP    [::]:49667             [::]:0                 LISTENING       3944
  TCP    [::]:49668             [::]:0                 LISTENING       5600
  TCP    [::]:49670             [::]:0                 LISTENING       1300
  TCP    [::1]:49669            [::]:0                 LISTENING       6120
  UDP    0.0.0.0:53             *:*                                    5660
  UDP    0.0.0.0:5050           *:*                                    9344
  UDP    0.0.0.0:5353           *:*                                    12812
  UDP    0.0.0.0:5353           *:*                                    12812
  UDP    0.0.0.0:5353           *:*                                    12812
  UDP    0.0.0.0:5353           *:*                                    19648
  UDP    0.0.0.0:5353           *:*                                    19648
  UDP    0.0.0.0:5353           *:*                                    19648
  UDP    0.0.0.0:5353           *:*                                    19648
  UDP    0.0.0.0:5353           *:*                                    19648
  UDP    0.0.0.0:5353           *:*                                    19648
  UDP    0.0.0.0:5353           *:*                                    12812
  UDP    0.0.0.0:5353           *:*                                    12812
  UDP    0.0.0.0:5353           *:*                                    10276
  UDP    0.0.0.0:5353           *:*                                    12812
  UDP    0.0.0.0:5353           *:*                                    12812
  UDP    0.0.0.0:5353           *:*                                    12812
  UDP    0.0.0.0:5353           *:*                                    2340
  UDP    0.0.0.0:5353           *:*                                    19648
  UDP    0.0.0.0:5353           *:*                                    19648
  UDP    0.0.0.0:5353           *:*                                    19648
  UDP    0.0.0.0:5353           *:*                                    10276
  UDP    0.0.0.0:5353           *:*                                    12812
  UDP    0.0.0.0:5353           *:*                                    10276
  UDP    0.0.0.0:5353           *:*                                    10276
  UDP    0.0.0.0:5355           *:*                                    2340
  UDP    0.0.0.0:49979          142.250.197.238:443                    12812
  UDP    0.0.0.0:52113          142.250.197.238:443                    12812
  UDP    0.0.0.0:54459          113.171.200.47:443                     12812
  UDP    0.0.0.0:55014          142.251.12.132:443                     12812
  UDP    0.0.0.0:56920          74.125.68.119:443                      12812
  UDP    0.0.0.0:58525          *:*                                    2340
  UDP    0.0.0.0:59125          *:*                                    5660
  UDP    0.0.0.0:59126          *:*                                    5660
  UDP    0.0.0.0:62788          172.217.194.95:443                     12812
  UDP    127.0.0.1:1900         *:*                                    13128
  UDP    127.0.0.1:52120        *:*                                    10276
  UDP    127.0.0.1:52121        127.0.0.1:52120                        10276
  UDP    127.0.0.1:60876        127.0.0.1:60876                        6108
  UDP    127.0.0.1:64363        *:*                                    13128
  UDP    169.254.218.41:137     *:*                                    4
  UDP    169.254.218.41:138     *:*                                    4
  UDP    169.254.218.41:1900    *:*                                    13128
  UDP    169.254.218.41:2177    *:*                                    22612
  UDP    169.254.218.41:64359   *:*                                    13128
  UDP    172.24.32.1:137        *:*                                    4
